Customer ID,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Population,NPS
0094-OIFMO,5980,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Female,78,No,Yes,No,Yes,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,57146,Detractor
9947-OTFQU,4616,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,Male,65,No,Yes,No,No,0,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,33817,Detractor
9514-JDSKI,5828,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,Male,77,No,Yes,Yes,No,0,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,62660,Detractor
7273-TEFQD,2314,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,Male,67,No,Yes,No,No,0,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,30802,Detractor
3606-TWKGI,2494,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,Male,68,No,Yes,No,No,0,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,46342,Detractor
4385-GZQXV,3810,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,Female,68,No,Yes,No,No,0,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,49474,Detractor
3488-PGMQJ,4345,No,0,8,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,Male,66,No,Yes,No,No,0,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,16486,Detractor
7534-BFESC,2018,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,Male,69,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209754",32.85723,-117.209774,34902,Detractor
8098-LLAZX,3677,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209756",32.85723,-117.209774,34902,Detractor
0265-EDXBD,4105,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92122,"32.85723, -117.209757",32.85723,-117.209774,34902,Detractor
2840-XANRC,2212,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,Male,77,No,Yes,Yes,No,0,United States,California,San Diego,92122,"32.85723, -117.209760",32.85723,-117.209774,34902,Detractor
5020-ZSTTY,4149,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,Female,70,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209761",32.85723,-117.209774,34902,Detractor
5804-LEPIM,2671,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209762",32.85723,-117.209774,34902,Detractor
0623-IIHUG,4778,No,0,21,,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,Female,77,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209770",32.85723,-117.209774,34902,Detractor
9057-MSWCO,2927,No,0,27,,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,Male,71,No,Yes,Yes,No,0,United States,California,San Diego,92122,"32.85723, -117.209772",32.85723,-117.209774,34902,Detractor
4895-TMWIR,5888,Yes,1,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,Male,79,No,Yes,Yes,No,0,United States,California,San Diego,92122,"32.85723, -117.209778",32.85723,-117.209774,34902,Detractor
0533-BNWKF,5502,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,Female,66,No,Yes,Yes,No,0,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,34902,Detractor
0334-GDDSO,2818,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,Male,77,No,Yes,No,No,0,United States,California,San Diego,92122,"32.85723, -117.209784",32.85723,-117.209774,34902,Detractor
5564-NEMQO,4902,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,Female,80,No,Yes,No,No,0,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,-116.119222,17018,Detractor
6235-VDHOM,4099,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,Female,77,No,Yes,No,No,0,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864,63999,Detractor
5609-CEBID,2666,No,0,20,,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,Female,77,No,Yes,No,No,0,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,-116.871544,39264,Detractor
5956-VKDTT,5273,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,"33.970661, -117.255039",33.970661,-117.255039,46214,Detractor
0257-ZESQC,4517,Yes,2,27,,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,Female,80,No,Yes,Yes,No,0,United States,California,Perris,92571,"33.828289, -117.201666",33.828289,-117.201666,26357,Detractor
2865-TCHJW,5808,No,0,4,,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,Female,74,No,Yes,No,No,0,United States,California,Anaheim,92807,"33.848733, -117.788357",33.848733,-117.788357,36301,Detractor
5192-EBGOV,4880,No,0,1,,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,Female,68,No,Yes,No,No,0,United States,California,Brea,92823,"33.924143, -117.79387",33.924143,-117.79387,1408,Detractor
3419-SNJJD,4196,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,Female,78,No,Yes,Yes,No,0,United States,California,Yorba Linda,92887,"33.884073, -117.732197",33.884073,-117.732197,20893,Detractor
4554-YGZIH,5059,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,Male,75,No,Yes,Yes,No,0,United States,California,Summerland,93067,"34.420998, -119.60137",34.420998,-119.60137,576,Detractor
5099-BAILX,2728,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,Male,77,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,31727,Detractor
4913-EHYUI,6268,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,Male,80,No,Yes,Yes,No,0,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,1054,Detractor
1626-ERCMM,5604,Yes,7,20,,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,Male,75,No,Yes,Yes,No,0,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,191,Detractor
5644-PDMZC,2065,No,0,2,,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,Female,69,No,Yes,No,No,0,United States,California,Delano,93215,"35.772244, -119.209689",35.772244,-119.209689,37280,Detractor
4160-AMJTL,5432,No,0,8,,Yes,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,Female,74,No,Yes,No,No,0,United States,California,Fellows,93224,"35.215731, -119.57013",35.215731,-119.57013,626,Detractor
0823-HSCDJ,5597,No,0,52,,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,Male,76,No,Yes,No,No,0,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473,46171,Detractor
0067-DKWBL,3475,No,0,2,,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,Male,69,No,Yes,No,No,0,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,47224,Detractor
5244-IRFIH,4333,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,Male,72,No,Yes,Yes,No,0,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,47224,Detractor
2684-EIWEO,2482,No,0,30,,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,Female,69,No,Yes,No,No,0,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,47224,Detractor
6683-VLCTZ,5444,No,0,20,,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,Male,73,No,Yes,No,No,0,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,47224,Detractor
0691-IFBQW,2403,No,0,46,,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,Female,65,No,Yes,No,No,0,United States,California,Biola,93606,"36.798882, -120.019511",36.798882,-120.019511,807,Detractor
3643-AHCFP,3265,Yes,1,7,,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,Male,74,No,Yes,Yes,No,0,United States,California,Selma,93662,"36.545322, -119.642281",36.545322,-119.642281,26213,Detractor
9231-ZJYAM,5301,No,0,4,,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,Female,65,No,Yes,No,No,0,United States,California,Squaw Valley,93675,"36.719141, -119.202677",36.719141,-119.202677,3146,Detractor
0727-BMPLR,5679,No,0,55,,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,Female,66,No,Yes,No,No,0,United States,California,Fresno,93706,"36.654614, -119.903674",36.654614,-119.903674,35790,Detractor
0947-MUGVO,5849,Yes,1,20,,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,Male,71,No,Yes,Yes,No,0,United States,California,Jolon,93928,"35.930782, -121.189757",35.930782,-121.189757,254,Detractor
0781-LKXBR,4038,No,0,9,,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,Male,65,No,Yes,No,No,0,United States,California,San Francisco,94102,"37.7795, -122.419233",37.7795,-122.419233,28998,Detractor
1907-UBQFC,3189,No,0,10,,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,Male,69,No,Yes,No,No,0,United States,California,San Francisco,94108,"37.791998, -122.408653",37.791998,-122.408653,13723,Detractor
6513-EECDB,4369,No,0,1,,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,Male,75,No,Yes,Yes,No,0,United States,California,San Francisco,94114,"37.758085, -122.434801",37.758085,-122.434801,30587,Detractor
7074-IEVOJ,3501,No,0,3,,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,Female,75,No,Yes,No,No,0,United States,California,San Francisco,94130,"37.820894, -122.369725",37.820894,-122.369725,1458,Detractor
4750-ZRXIU,2467,No,0,4,,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.8200000000001,Female,68,No,Yes,No,No,0,United States,California,Palo Alto,94304,"37.386978, -122.177746",37.386978,-122.177746,1723,Detractor
7028-DVOIQ,2074,No,0,35,,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,Male,71,No,Yes,No,No,0,United States,California,Birds Landing,94512,"38.140719, -121.838298",38.140719,-121.838298,138,Detractor
4208-UFFGW,5900,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39,Male,80,No,Yes,No,No,0,United States,California,Byron,94514,"37.83323, -121.601461",37.83323,-121.601461,10153,Detractor
9889-TMAHG,5084,No,0,8,,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.91,Male,66,No,Yes,No,No,0,United States,California,Fremont,94539,"37.516791, -121.899117",37.516791,-121.899117,46917,Detractor
8919-FYFQZ,4829,Yes,2,44,,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,Male,73,No,Yes,Yes,No,0,United States,California,Livermore,94550,"37.571748, -121.659562",37.571748,-121.659562,75929,Detractor
6646-QVXLR,5052,Yes,1,62,,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,Male,77,No,Yes,Yes,No,0,United States,California,Napa,94558,"38.489789, -122.27011",38.489789,-122.27011,63947,Detractor
9369-XFEHK,3601,Yes,1,33,,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,Female,76,No,Yes,Yes,No,0,United States,California,Pleasanton,94566,"37.633361, -121.862395",37.633361,-121.862395,36669,Detractor
1374-DMZUI,5419,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,Female,65,No,Yes,No,No,0,United States,California,San Ramon,94583,"37.766556, -121.976784",37.766556,-121.976784,44078,Detractor
1989-PRJHP,2377,Yes,1,27,,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,Male,75,No,Yes,Yes,No,0,United States,California,Pleasanton,94588,"37.685052, -121.912061",37.685052,-121.912061,28568,Detractor
4822-RVYBB,5906,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,Male,75,No,Yes,No,No,0,United States,California,Berkeley,94704,"37.871416, -122.246597",37.871416,-122.246597,21205,Detractor
4184-TJFAN,4486,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,Female,68,No,Yes,Yes,No,0,United States,California,Berkeley,94707,"37.897753, -122.279391",37.897753,-122.279391,11889,Detractor
4145-UQXUQ,5662,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,Female,71,No,Yes,No,No,0,United States,California,Berkeley,94710,"37.872902, -122.303708",37.872902,-122.303708,8157,Detractor
1236-WFCDV,4777,No,0,14,,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,Male,74,No,Yes,No,No,0,United States,California,Greenbrae,94904,"37.946617, -122.563571",37.946617,-122.563571,12010,Detractor
1271-SJBGZ,2437,No,0,12,,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,Male,77,No,Yes,No,No,0,United States,California,Forest Knolls,94933,"38.010092, -122.689442",38.010092,-122.689442,1025,Detractor
4441-NIHPT,2995,No,0,13,,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,Female,73,No,Yes,No,No,0,United States,California,Freedom,95019,"36.936228, -121.785559",36.936228,-121.785559,4753,Detractor
8999-BOHSE,2202,No,0,11,,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,Female,68,No,Yes,No,No,0,United States,California,Gilroy,95020,"37.03889, -121.528955",37.03889,-121.528955,49968,Detractor
7029-RPUAV,5508,Yes,1,17,,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,Male,74,No,Yes,Yes,No,0,United States,California,Los Gatos,95030,"37.222842, -121.988727",37.222842,-121.988727,13290,Detractor
8111-SLLHI,4687,Yes,1,39,,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,Male,65,No,Yes,Yes,No,0,United States,California,San Jose,95128,"37.316146, -121.936285",37.316146,-121.936285,32804,Detractor
5293-WXJAK,4553,Yes,5,11,,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,Female,73,No,Yes,Yes,No,0,United States,California,San Jose,95135,"37.28682, -121.723877",37.28682,-121.723877,15798,Detractor
4086-YQSNZ,3834,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,Female,74,No,Yes,Yes,No,0,United States,California,Glencoe,95232,"38.358464, -120.579304",38.358464,-120.579304,21,Detractor
