CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,num_services,charge_per_service,is_new_customer,is_autopay,NPS
2176,No,0,1,Offer E,Yes,26.06,No,Yes,Fiber Optic,3,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.3,75.3,0.0,0,26.06,101.36,Female,53,No,No,No,No,0,3,18.825,1,1,Detractor
4000,Yes,4,61,Offer B,Yes,41.57,No,Yes,Fiber Optic,21,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,98.45,6145.2,0.0,0,2535.77,8680.97,Male,41,No,No,Yes,Yes,1,7,12.30625,0,1,Detractor
3056,No,0,27,,Yes,1.31,No,Yes,Cable,53,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,56.15,1439.35,0.0,0,35.370000000000005,1474.7199999999998,Female,29,Yes,No,No,No,0,4,11.23,0,0,Detractor
4104,No,0,39,Offer C,Yes,36.93,Yes,Yes,Fiber Optic,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,81.4,3213.75,0.0,0,1440.27,4654.02,Male,54,No,No,No,No,0,4,16.28,0,0,Passive
5909,No,0,20,Offer D,Yes,29.12,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.6,356.15,0.0,0,582.4,938.55,Male,46,No,No,No,No,0,1,9.8,0,0,Passive
5800,No,0,6,,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0.0,0,15.6,593.2,Female,43,No,No,No,No,0,5,14.883333333333333,1,1,Detractor
3190,No,0,17,,Yes,33.68,No,Yes,DSL,14,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.5,934.15,0.0,0,572.56,1506.71,Male,64,No,No,No,No,0,4,11.1,0,0,Passive
4666,Yes,7,70,,Yes,12.07,Yes,Yes,DSL,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,90.05,6333.4,0.0,0,844.9,7178.299999999999,Male,65,No,Yes,Yes,No,0,10,8.186363636363636,0,0,Detractor
4073,Yes,5,63,,Yes,10.07,Yes,Yes,Cable,20,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,79.8,5034.05,0.0,0,634.41,5668.46,Male,51,No,No,Yes,No,0,8,8.866666666666667,0,0,Passive
4297,No,0,50,Offer B,Yes,47.16,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.9,1195.25,0.0,0,2358.0,3553.25,Male,64,No,No,No,No,0,2,8.299999999999999,0,1,Passive
5501,No,0,55,,Yes,35.38,Yes,Yes,Cable,13,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,66.05,3462.1,44.53,150,1945.9,5513.469999999999,Female,41,No,No,Yes,No,0,5,11.008333333333333,0,0,Passive
2843,No,0,1,,Yes,22.03,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.35,69.35,0.0,0,22.03,91.38,Male,57,No,No,No,No,0,2,23.116666666666664,1,1,Detractor
5973,Yes,1,1,,Yes,35.15,No,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.2,76.2,0.0,50,35.15,161.35,Male,53,No,No,Yes,No,0,2,25.4,1,1,Detractor
4525,No,0,10,,Yes,39.85,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.75,777.3,0.0,0,398.5,1175.8,Female,37,No,No,No,No,0,3,18.9375,1,0,Promoter
5530,Yes,10,28,,Yes,33.57,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,96.6,2684.35,0.0,0,939.96,3624.31,Male,25,Yes,No,Yes,No,0,6,13.8,0,0,Promoter
5394,No,0,47,Offer B,Yes,43.2,No,No,No internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.9,942.95,0.0,0,2030.4,2973.3500000000004,Male,26,Yes,No,Yes,No,0,1,9.95,0,1,Promoter
3052,Yes,9,42,,Yes,33.63,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.25,1108.2,0.0,0,1412.46,2520.66,Female,55,No,No,Yes,No,0,2,8.416666666666666,0,1,Passive
4333,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,Male,72,No,Yes,Yes,No,0,5,15.75,0,1,Detractor
4566,No,0,2,,No,0.0,No,Yes,DSL,48,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,45.25,85.5,0.0,10,0.0,95.5,Female,28,Yes,No,No,No,0,3,11.3125,1,1,Detractor
5823,No,0,26,Offer C,Yes,45.7,No,No,No internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.8,457.3,0.0,0,1188.2,1645.5,Male,63,No,No,No,No,0,1,9.9,0,0,Detractor
4027,No,0,34,Offer C,Yes,43.17,No,Yes,DSL,8,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,55.0,1885.15,0.0,0,1467.78,3352.9300000000003,Female,31,No,No,No,No,0,4,11.0,0,0,Passive
2881,Yes,1,14,,Yes,45.6,No,Yes,Cable,19,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,65.45,937.6,0.0,0,638.4,1576.0,Male,42,No,No,Yes,Yes,1,5,10.908333333333331,0,1,Detractor
2928,No,0,1,,Yes,28.25,Yes,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.45,50.45,0.0,0,28.25,78.7,Male,37,No,No,No,No,0,3,12.6125,1,1,Detractor
2950,Yes,7,25,Offer C,Yes,11.6,Yes,Yes,DSL,10,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,55.55,1405.3,0.0,0,290.0,1695.3,Male,49,No,No,Yes,No,0,4,11.11,0,0,Promoter
3617,Yes,2,35,,Yes,23.85,Yes,Yes,Fiber Optic,10,No,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Credit Card,91.5,3236.35,40.79,90,834.75,4120.31,Male,64,No,No,Yes,No,0,4,18.3,0,0,Passive
6490,No,0,58,Offer B,Yes,2.38,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.45,1513.6,0.0,0,138.04,1651.64,Male,42,No,No,No,No,0,2,8.15,0,0,Passive
4104,No,0,60,Offer B,Yes,49.96,Yes,Yes,DSL,85,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.95,4984.85,0.0,0,2997.6,7982.450000000001,Male,28,Yes,No,No,Yes,1,9,8.495000000000001,0,1,Detractor
2054,No,0,13,,Yes,34.18,No,Yes,Fiber Optic,19,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,81.9,1028.9,0.0,0,444.34,1473.24,Female,47,No,No,No,No,0,3,20.475,0,0,Detractor
4260,No,0,67,,Yes,4.72,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.8,1311.3,0.0,0,316.24,1627.54,Male,31,No,No,No,No,0,1,9.9,0,0,Detractor
2907,No,0,8,,Yes,20.9,No,Yes,DSL,6,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.4,408.25,0.0,0,167.2,575.45,Female,52,No,No,No,No,0,3,12.35,1,1,Passive
4650,Yes,1,42,,Yes,13.95,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,22.95,1014.25,0.0,0,585.9,1600.15,Female,47,No,No,Yes,Yes,3,2,7.649999999999999,0,1,Promoter
4050,No,0,37,,No,0.0,No,Yes,DSL,69,Yes,Yes,No,Yes,No,No,Yes,No,Two Year,Yes,Credit Card,40.55,1390.85,0.0,50,0.0,1440.85,Male,26,Yes,No,No,No,0,4,8.11,0,0,Detractor
3877,Yes,4,41,,Yes,13.58,Yes,Yes,DSL,51,No,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,68.5,2839.95,38.37,0,556.78,3358.36,Male,28,Yes,No,Yes,No,0,6,9.785714285714286,0,1,Passive
5172,No,0,62,,Yes,23.18,No,Yes,DSL,18,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,65.1,3846.75,0.0,0,1437.16,5283.91,Female,45,No,No,No,No,0,6,9.3,0,0,Detractor
5306,No,0,72,,Yes,22.77,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,21.15,1419.4,19.31,0,1639.44,3039.53,Female,30,No,No,No,No,0,1,10.575,0,1,Promoter
5254,No,0,13,,Yes,49.9,No,Yes,DSL,30,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.9,788.35,0.0,0,648.6999999999999,1437.05,Male,76,No,Yes,No,No,0,4,11.98,0,1,Promoter
4075,Yes,1,11,,Yes,15.73,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.95,267.35,18.17,0,173.03,422.21,Male,33,No,No,Yes,Yes,2,1,10.475,1,1,Detractor
3019,Yes,1,3,Offer E,Yes,32.31,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.6,279.55,0.0,0,96.93,376.48,Male,70,No,Yes,Yes,No,0,5,15.766666666666666,1,1,Detractor
5905,Yes,5,62,Offer B,Yes,44.95,No,Yes,Fiber Optic,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.3,6613.65,0.0,0,2786.9,9400.55,Female,37,No,No,Yes,No,0,8,11.588888888888889,0,1,Passive
5172,No,0,2,,Yes,8.32,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.75,164.5,0.0,0,16.64,181.14,Female,44,No,No,No,No,0,3,19.9375,1,1,Detractor
5146,No,0,22,,Yes,1.74,No,Yes,DSL,85,No,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,65.25,1441.8,0.0,0,38.28,1480.08,Female,22,Yes,No,No,No,0,5,10.875,0,1,Promoter
6205,Yes,7,65,,Yes,19.99,No,Yes,DSL,26,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.15,3673.15,0.0,0,1299.35,4972.5,Female,63,No,No,Yes,No,0,4,11.03,0,0,Detractor
4129,Yes,2,25,,Yes,10.49,No,No,No internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.2,507.9,0.0,0,262.25,770.15,Female,21,Yes,No,Yes,No,0,1,10.1,0,1,Detractor
2237,No,0,8,,Yes,42.78,No,Yes,DSL,27,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,54.25,447.75,0.0,0,342.24,789.99,Female,37,No,No,No,No,0,4,10.85,1,1,Detractor
5509,Yes,4,52,,No,0.0,No,Yes,DSL,8,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,35.45,1958.95,0.0,0,0.0,1958.95,Female,58,No,No,Yes,No,0,3,8.8625,0,0,Passive
3973,Yes,2,7,Offer E,Yes,35.26,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.85,144.15,0.0,0,246.82,390.97,Female,38,No,No,Yes,Yes,1,1,9.925,1,0,Detractor
5184,Yes,1,68,,Yes,27.59,No,Yes,DSL,27,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,82.85,5776.45,0.0,0,1876.12,7652.57,Male,52,No,No,Yes,Yes,1,8,9.205555555555556,0,1,Passive
5266,Yes,2,59,,Yes,48.07,Yes,Yes,Fiber Optic,53,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.65,5580.8,0.0,0,2836.13,8416.93,Female,35,No,No,Yes,Yes,5,7,12.08125,0,1,Detractor
6060,Yes,6,67,,Yes,40.96,Yes,Yes,Fiber Optic,47,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.2,7530.8,0.0,0,2744.32,10275.12,Male,19,Yes,No,Yes,Yes,1,9,11.12,0,1,Passive
4614,No,0,43,,Yes,21.64,No,Yes,DSL,13,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,60.0,2548.55,0.0,0,930.52,3479.07,Male,64,No,No,No,No,0,5,10.0,0,1,Promoter
5643,Yes,2,31,,Yes,39.34,No,Yes,DSL,41,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,81.15,2545.75,0.0,0,1219.5400000000002,3765.29,Female,26,Yes,No,Yes,No,0,8,9.016666666666667,0,0,Passive
3962,No,0,25,,Yes,1.22,No,Yes,DSL,10,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,65.8,1679.65,29.29,0,30.5,1680.86,Female,33,No,No,No,No,0,6,9.4,0,1,Promoter
5362,No,0,31,,Yes,39.36,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65,0.0,0,1220.16,4406.81,Female,74,No,Yes,No,No,0,6,14.278571428571428,0,1,Detractor
5136,Yes,3,53,Offer B,Yes,37.14,Yes,Yes,Cable,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.1,3833.95,0.0,0,1968.42,5802.37,Female,41,No,No,Yes,No,0,8,8.233333333333333,0,1,Passive
3349,No,0,1,,Yes,45.5,No,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.9,69.9,0.0,0,45.5,115.4,Male,56,No,No,No,No,0,2,23.3,1,1,Detractor
2494,No,0,37,Offer C,No,0.0,No,Yes,DSL,29,No,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,36.65,1315.0,0.0,0,0.0,1315.0,Male,75,No,Yes,No,No,0,3,9.1625,0,1,Promoter
5937,No,0,45,Offer B,Yes,37.39,No,Yes,DSL,30,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,81.65,3618.7,0.0,0,1682.55,5301.25,Female,57,No,No,No,No,0,8,9.072222222222225,0,1,Detractor
5238,Yes,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Female,60,No,No,Yes,No,0,6,13.535714285714286,0,1,Detractor
3787,No,0,5,,Yes,39.13,Yes,Yes,Fiber Optic,20,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,96.55,500.1,0.0,0,195.65,695.75,Male,40,No,No,No,No,0,7,12.06875,1,1,Detractor
2504,Yes,1,14,Offer D,Yes,7.62,No,Yes,Fiber Optic,3,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,89.65,1208.35,0.0,120,106.68,1435.03,Female,57,No,No,Yes,No,0,5,14.941666666666668,0,0,Detractor
3055,No,0,29,,Yes,49.92,Yes,Yes,Fiber Optic,23,No,Yes,Yes,Yes,No,Yes,Yes,No,One Year,No,Credit Card,100.55,2830.45,0.0,100,1447.68,4378.13,Male,46,No,No,No,No,0,7,12.56875,0,0,Promoter
4151,Yes,1,61,,Yes,32.96,Yes,Yes,DSL,41,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,81.0,4976.15,0.0,0,2010.56,6986.709999999999,Male,27,Yes,No,Yes,Yes,3,8,9.0,0,1,Passive
5398,No,0,45,Offer B,Yes,25.4,No,No,No internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.4,930.45,0.0,0,1143.0,2073.45,Male,49,No,No,No,No,0,1,10.2,0,1,Detractor
4958,No,0,20,Offer D,Yes,31.02,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0.0,0,620.4,1035.8,Male,20,Yes,No,No,No,0,1,9.7,0,0,Detractor
5781,No,0,23,,Yes,14.45,Yes,Yes,Fiber Optic,19,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.7,2249.1,0.0,0,332.35,2581.45,Female,40,No,No,No,No,0,7,12.3375,0,0,Promoter
5987,Yes,3,69,,No,0.0,No,Yes,DSL,11,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,39.1,2779.5,0.0,0,0.0,2779.5,Male,52,No,No,Yes,Yes,1,4,7.82,0,0,Detractor
5433,No,0,16,,Yes,24.79,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.75,294.9,0.0,0,396.64,691.54,Male,48,No,No,No,No,0,1,9.875,0,0,Promoter
5790,No,0,12,,Yes,30.79,No,Yes,DSL,4,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.9,505.95,0.0,0,369.48,875.4300000000001,Female,39,No,No,Yes,No,0,2,15.3,1,1,Detractor
5590,Yes,7,72,Offer A,Yes,5.27,No,Yes,DSL,9,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,74.4,5360.75,0.0,140,379.44,5880.19,Male,69,No,Yes,Yes,No,0,6,10.62857142857143,0,1,Passive
4513,No,0,7,,Yes,40.32,Yes,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.65,604.7,0.0,0,282.24,886.94,Female,61,No,No,No,No,0,4,15.93,1,0,Detractor
4722,No,0,72,,Yes,45.75,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.3,1414.8,0.0,0,3294.0,4708.8,Male,57,No,No,No,No,0,1,9.65,0,1,Passive
5054,Yes,2,71,,Yes,22.33,Yes,Yes,Cable,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,90.1,6310.9,0.0,0,1585.4299999999998,7896.33,Female,30,No,No,Yes,No,0,10,8.19090909090909,0,1,Detractor
3306,No,0,18,,Yes,12.5,Yes,Yes,DSL,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,82.0,1425.45,0.0,0,225.0,1650.45,Male,36,No,No,No,No,0,8,9.11111111111111,0,0,Detractor
5764,Yes,1,40,Offer B,Yes,2.03,Yes,Yes,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0.0,0,81.19999999999999,3384.25,Female,64,No,No,Yes,No,0,5,14.141666666666666,0,1,Detractor
5688,Yes,1,63,,Yes,40.65,No,Yes,DSL,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,84.0,5329.55,0.0,0,2560.95,7890.5,Male,65,No,Yes,Yes,No,0,9,8.4,0,1,Detractor
2414,No,0,2,Offer E,Yes,38.51,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,196.9,0.0,0,77.02,273.92,Female,32,No,No,No,No,0,6,13.592857142857143,1,1,Detractor
4487,No,0,57,,Yes,36.14,No,Yes,Cable,48,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,No,Mailed Check,69.75,3894.4,0.0,0,2059.98,5954.38,Female,21,Yes,No,No,No,0,7,8.71875,0,0,Detractor
5537,No,0,1,,Yes,8.23,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.55,19.55,0.0,0,8.23,27.78,Female,30,No,No,No,No,0,1,9.775,1,0,Passive
